,straatnaam,totaal_schouwen,aantal_niet_aplus,aantal_grofvuil,stadsdeel,postcode,adres,geometrie_origineel,dumpplek,eerste_melding,laatste_melding,lon,lat
3715,Kloveniersburgwal 1,409,281,148,Centrum,1011JS,Kloveniersburgwal 1,POINT (121821.01255419277 487246.3084205706),False,2025-01-06,2025-10-29,4.900001235697273,52.372090072761196
7276,Raamplein 1,172,159,106,Centrum,,Raamplein 1,POINT (120453.20449924807 486636.3859871018),False,2025-01-08,2025-10-28,4.879979645850886,52.36652418295426
8215,Singel 450,191,149,32,Centrum,Nederland,Singel 450,POINT (121048.92647599884 486784.2514559962),True,2025-01-02,2025-10-24,4.888710931940041,52.367890241282616
1542,Dr. H. Colijnstraat 863,173,149,81,Nieuw-West,1067CE,Dr. H. Colijnstraat 863,POINT (115486.31614749828 488411.2831240612),False,2025-01-04,2025-10-29,4.806849225055054,52.382140632811804
3426,Keizersgracht 231,163,142,48,Centrum,1016DV,Keizersgracht 231,POINT (120807.94489992163 487294.37103356497),False,2025-01-03,2025-10-29,4.885120913990467,52.37245988251838
1674,Elandsgracht 109,177,135,31,Centrum,1016TT,Elandsgracht 109,POINT (120368.11136683819 486904.68716765713),False,2025-01-02,2025-10-29,4.87870269590181,52.368930122926216
2667,Herengracht 371,167,134,19,Centrum,1016BC,Herengracht 371,POINT (120929.852926477 486873.1453392224),False,2025-01-07,2025-10-28,4.886953665800657,52.36868178288383
9778,Westermarkt 2,153,127,54,Centrum,1016DK,Westermarkt 2,POINT (120789.4063267346 487539.3233265506),False,2025-01-03,2025-10-28,4.884823765915006,52.37466018280825
865,Blankenstraat 94,148,127,96,Centrum,1018SK,Blankenstraat 94,POINT (123738.24517206974 486874.0980262591),False,2025-01-02,2025-10-26,4.928187765315109,52.36885738265101
7587,Rietwijkerstraat 32,127,127,31,Zuid,1059XA,Rietwijkerstraat 32,POINT (118344.84665578118 484735.775256292),False,2025-01-03,2025-10-29,4.849232605957956,52.349306223376814
5698,Nieuwmarkt 38,173,126,57,Centrum,1012CS,Nieuwmarkt 38,POINT (121800.94575240352 487258.9439973064),False,2025-01-04,2025-10-29,4.899705335245253,52.3722024197002
1390,Dennenrodepad 1003,149,125,109,Zuidoost,1102MW,Dennenrodepad 1003,POINT (125552.49914571951 481671.4030112611),False,2025-01-08,2025-10-28,4.955280884298465,52.322198933186385
9790,Westerstraat 122,142,124,30,Centrum,1015MP,Westerstraat 122,POINT (120681.1583116797 487952.9698678816),False,2025-01-29,2025-10-28,4.883191964101248,52.37837098244265
1338,Daniël de Langestraat 14,126,124,2,Zuid,1071WB,Daniël de Langestraat 14,POINT (120552.98314715052 484919.4819723605),False,2025-01-02,2025-10-29,4.881620403714868,52.3511001128503
242,Andreas Schelfhoutstraat 45,130,124,82,Zuid,1058HS,Andreas Schelfhoutstraat 45,POINT (118464.44303619654 485620.98157510045),False,2025-01-02,2025-10-29,4.850891666056449,52.357269783251304
1219,Cornelis van Vollenhovenstraat 32,139,124,110,Nieuw-West,1063KS,Cornelis van Vollenhovenstraat 32,POINT (116389.2687893293 488190.8681038011),False,2025-01-04,2025-10-29,4.820135996615288,52.38022397174344
8985,Stolwijkstraat 2,132,124,74,Zuid,1059XW,Stolwijkstraat 2,POINT (118288.04975353972 484967.6831980398),False,2025-01-02,2025-10-29,4.848373755998897,52.35138665335117
175,Amsteldijk 119,126,122,5,Zuid,1078RR,Amsteldijk 119,POINT (122503.81040589357 484602.73425391765),False,2025-01-02,2025-10-28,4.910282585222182,52.3483722230515
1802,Foppingadreef 26,135,121,116,Zuidoost,1102CX,Foppingadreef 26,POINT (125400.05013706558 480149.74360457837),False,2025-01-04,2025-10-27,4.953178494121216,52.30851490339982
7934,Sarphatistraat 204,142,121,42,Centrum,1018GV,Sarphatistraat 204,POINT (122671.43986255229 486120.98512397695),False,2025-01-04,2025-10-29,4.912596773510176,52.36202715251829
4333,Kromme-Mijdrechtstraat 18,123,120,24,Zuid,1079KV,Kromme-Mijdrechtstraat 18,POINT (122392.78748749403 484321.7434844935),False,2025-01-03,2025-10-29,4.908680465203572,52.34584028309761
3017,Isaac Titsinghkade 123,155,119,68,Centrum,1018CB,Isaac Titsinghkade 123,POINT (123893.57479005109 487226.3433124254),False,2025-01-05,2025-10-27,4.930435805959211,52.37203194837186
798,Binnenkant 13,165,119,50,Centrum,1011BG,Binnenkant 13,POINT (122084.44564235257 487439.8702575539),False,2025-01-24,2025-10-29,4.903850421097866,52.37384552445892
8931,Stadionweg 324,127,119,72,Zuid,1076PL,Stadionweg 324,POINT (119005.33979566941 484317.0206598241),False,2025-01-02,2025-10-28,4.858970763901026,52.34558641305629
5644,Nieuwezijds Voorburgwal 75,250,118,43,Centrum,1012RE,Nieuwezijds Voorburgwal 75,POINT (121316.93180904242 487619.0493356378),False,2025-01-06,2025-10-28,4.892562176977488,52.37540931576408
